location,description,created,target,type,to_package,association,images,comments,documents,priority,cause,project,task_group,days_to_target,month,weekday,season,has_parent_task,location_depth,description_length,task_category,overdue_label
JPC Project Management>EHS Inspections,No whip chains being used on compressor,2020-05-21,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,False,False,Unknown,JPC - Safety - Plant & Equipment,1338,Safety,,5,3,spring,0,2,39,Safety,0
JPC Project Management>EHS Inspections,"Review exclusion zone around tank at Wheel wash, currently heras panel can be opened easily, no signage erected",2020-05-21,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1338,Safety,,5,3,spring,0,2,111,Safety,0
JPC Project Management>EHS Inspections,Crossing point required from new car park side  to retail unit side of site,2020-02-27,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1338,Safety,,2,3,winter,0,2,75,Safety,0
JPC Project Management>EHS Inspections,"Work area in Mall left open when unattended. Heras panel stored upright, hand tools and heras footings left outside exclusion zone",2020-05-21,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1338,Safety,,5,3,spring,0,2,130,Safety,0
JPC Project Management>EHS Inspections,Highlight edge of road plate,2020-06-04,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1338,Safety,,6,3,summer,0,2,28,Safety,0
JPC Project Management>EHS Inspections,"Review access through pedestrian gate, level stone",2020-06-04,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1338,Safety,,6,3,summer,0,2,50,Safety,0
JPC Project Management>EHS Inspections,"Remove old redundant warning tape, in TKM set down area.",2020-06-04,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1338,Safety,,6,3,summer,0,2,56,Safety,0
JPC Project Management>EHS Inspections,Wash stations stocked with soap and blue roll,2020-06-04,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Quality - Management,1338,Safety,,6,3,summer,0,2,45,Safety,0
JPC Project Management>EHS Inspections,Ground being levelled to access capping beam,2020-06-04,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Quality - Management,1338,Safety,,6,3,summer,0,2,44,Safety,0
JPC Project Management>EHS Inspections,"Edge protection placed 1m back from cut line, good working practice",2020-06-04,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Quality - Management,1338,Safety,,6,3,summer,0,2,67,Safety,0
JPC Project Management>EHS Inspections,No clear access to container,2020-06-04,,Safety Notice (Amber) - General Issue,Piling,FormAnswer,True,False,False,Unknown,JPC - Quality - Workmanship,1338,Safety,,6,3,summer,0,2,28,Safety,0
JPC Project Management>EHS Inspections,Safe working loads stated on loading bays,2020-06-04,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Quality - Workmanship,1338,Safety,,6,3,summer,0,2,41,Safety,0
JPC Project Management>EHS Inspections,"Loose board may cause fall, boards to be fixed down.",2020-06-04,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Scaffolding,1338,Safety,,6,3,summer,0,2,52,Safety,0
1345 - DUB062 Project,light in toilet not working,2020-02-20,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Welfare Facilities,1345,Safety,,2,3,winter,0,1,27,Safety,0
1345 - DUB062 Project,IGSL work area well set up including their own C-19 signage,2020-05-08,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1345,Safety,,5,4,spring,0,1,59,Safety,0
1345 - DUB062 Project,Overhead Power lines well identified,2020-05-08,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Electrical,1345,Safety,,5,4,spring,0,1,36,Safety,0
1345 - DUB062 Project,Entrance gate is locked with gateman on duty. Further cabin due to arrive.,2020-05-08,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1345,Safety,,5,4,spring,0,1,74,Safety,0
1345 - DUB062 Project,IAC operatives adhering to social distancing,2020-05-08,,Safety Notice (Green) - Good Observation,Archaeology,FormAnswer,True,False,False,Unknown,JPC - Safety - Management,1345,Safety,,5,4,spring,0,1,44,Safety,0
1345 - DUB062 Project,Goal Post to mark going under OHL had started to come down in high wind. Fixed by Halcon at time of inspection. OHL protection otherwise in good order.,2020-05-22,,Safety Notice (Amber) - General Issue,Haul Road,FormAnswer,True,False,False,Unknown,JPC - Safety - Electrical,1345,Safety,,5,4,spring,0,1,151,Safety,0
1345 - DUB062 Project,Number of IAC operatives not wearing Safety glasses. This was addressed at time of inspection but will need monitoring going forward.,2020-05-22,,Safety Notice (Amber) - General Issue,Archaeology,FormAnswer,False,False,False,Unknown,JPC - Safety - PPE,1345,Safety,,5,4,spring,0,1,133,Safety,0
1345 - DUB062 Project,"Welfare facilities well set up to manage numbers on site, particularly drying rooms which have had small screens installed to help manage spread of Covid-19",2020-05-22,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Welfare Facilities,1345,Safety,,5,4,spring,0,1,156,Safety,0
1345 - DUB062 Project,ga1 not available for some plant on site. requested from FIMA Safety Officer.,2020-02-20,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,False,True,True,Unknown,JPC - Safety - Plant & Equipment,1345,Safety,,2,3,winter,0,1,77,Safety,0
1345 - DUB062 Project,Good exclusion zone in place to prevent plant contacting OHL,2020-03-18,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1345,Safety,,3,2,spring,0,1,60,Safety,0
1345 - DUB062 Project,level pedestrian pathway from compound going along south west boundary (continuation of haul road) needs to be established. Plant has churned up ground.,2020-03-18,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,True,False,.,JPC - Safety - Access,1345,Safety,,3,2,spring,0,1,152,Safety,0
1345 - DUB062 Project,No GA1 on file for Dumper and one of excavators. Need to be supplied urgently.,2020-03-18,,Safety Notice (Amber) - General Issue,Archaeology,FormAnswer,True,True,False,Unknown,JPC - Safety - Documentation,1345,Safety,,3,2,spring,0,1,78,Safety,0
1345 - DUB062 Project,Haul Road needs to be extended to dig area. In progress at time of inspection. Completed post inspection 23/03/20,2020-03-24,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1345,Safety,,3,1,spring,0,1,113,Safety,0
1345 - DUB062 Project,No GA1 on file for Dumper. Recieved post inspection.,2020-03-24,,Safety Notice (Amber) - General Issue,Archaeology,FormAnswer,True,False,False,Unknown,JPC - Safety - Documentation,1345,Safety,,3,1,spring,0,1,52,Safety,0
1345 - DUB062 Project,C-19 Signage ordered from sign centre last week needs to be followed up &delivered,2020-05-08,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,False,True,False,Unknown,JPC - Safety - Management,1345,Safety,,5,4,spring,0,1,82,Safety,0
1345 - DUB062 Project,C-19 PPE ordered has not been delivered to site. (arranged to be delivered post inspection),2020-05-08,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,False,False,False,Unknown,JPC - Safety - Management,1345,Safety,,5,4,spring,0,1,91,Safety,0
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 00 Ground Floor,BCAR Architecture inspection SA DM AD,2020-03-05,2020-03-12,Design Team - BCAR Architectural,Assigned Certifier,Unknown,True,True,False,Unknown,Unknown,1338,Design Team,7.0,3,3,spring,0,4,37,Design Team,0
Quality Control & BC(A)R>ITP 02 Architectural>Carpark,BCAR Architecture inspection SA DM AD,2020-03-05,2020-03-12,Design Team - BCAR Architectural,Assigned Certifier,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,3,spring,0,3,37,Design Team,0
Quality Control & BC(A)R>ITP 02 Architectural>Block B,BCAR Architecture inspection SA DM AD,2020-03-05,2020-03-12,Design Team - BCAR Architectural,Assigned Certifier,Unknown,True,True,False,Unknown,Unknown,1338,Design Team,7.0,3,3,spring,0,3,37,Design Team,0
Quality Control & BC(A)R>ITP 02 Architectural>Block B>Lvl 00 Ground Floor,BCAR Architecture inspection SA DM  north substation first block course on foundations viewed with contractor. JDP to return once three courses.,2020-03-10,2020-03-17,Design Team - BCAR Architectural,Assigned Certifier,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,1,spring,0,4,144,Design Team,0
Quality Control & BC(A)R>ITP 02 Architectural>Carpark>00 Lower Gound,BCAR Architecture inspection SA DM piling progress and alignment viewed with contractor and client. methodology agreed.,2020-03-10,2020-03-17,Design Team - BCAR Architectural,Assigned Certifier,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,1,spring,0,4,119,Design Team,0
Quality Control & BC(A)R>ITP 02 Architectural>Block A>Lvl 00 Ground Floor,BCAR Architecture inspection SA DM sub station foundations complete for lowest level. retail pad excavation in progress. viewe with contractor and client.,2020-03-10,2020-03-17,Design Team - BCAR Architectural,Assigned Certifier,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,1,spring,0,4,154,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl -00 Foundation,Reinforcement and holding down bolts ready on site. JPC to check setting out with latest design team comments,2020-03-05,2020-03-12,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,3,spring,0,4,109,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Top Mesh bent. Replace and ensure the mesh is not bent/damaged,2020-07-24,2020-07-30,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,7,4,summer,0,4,62,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Provide isolation joints at columns. Ensure isolation joint as per AECOM drwgs and email sent 24/07/2020,2020-07-24,2020-07-30,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,7,4,summer,0,4,104,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Cut bars to provide cover adjacent to column. Not enough of cover (2nd photo),2020-07-24,2020-07-30,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,7,4,summer,0,4,77,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Incorrect level of upstand at pipe penetration. Sketch will be provided to adjust reinforcement,2020-07-24,2020-07-30,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,7,4,summer,0,4,95,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,updated sketch for underpinning  will be issued  today based on discussion  on site,2020-07-24,2020-07-30,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,6.0,7,4,summer,0,4,83,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark Entrance Building>Lvl 00 Lower Ground,First section of rc wall poured on site. good quality of concrete. ensure dywidag holes are filled. small honeycombing at btm of wall - ensure proper btm section of concrete is vibrated,2020-07-24,2020-07-30,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,7,4,summer,0,4,185,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark Entrance Building>Lvl 00 Lower Ground,Lift pit membrane installed,2020-07-24,2020-07-30,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,7,4,summer,0,4,27,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Propping of piles ongoing. Bulk excavation  ongoing,2020-07-24,2020-07-30,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,7,4,summer,0,4,51,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Elevations,Progress photos of  Block A.,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,28,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block A>Lvl -00 Foundation,Exposed section at Prada. Bay window removed. New foundation works to start on site soon. Refer to latest AECOM drwgs,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,117,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl -00 Foundation,Ensure pad sizes are as per Aecom drwgs issued 04/03.,2020-03-05,2020-03-12,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,3,spring,0,4,53,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl -00 Foundation,Underpinning works started. Stiff clay at formation level. No issues recorded. Sequencing is as per agreed Aecom drawings,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,121,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Sample void former installed. Panels will be wider and spray will be provided between void former and male piles to fill the gaps,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,129,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Works on weepholes in piles started. Please do not drill weepholes at Tesco boundary. Electrical room at this location and final detail is being coordinated between disciplines,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,176,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Piles projecting into cavity zone. BL to confirm remedial detail,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,64,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Temporary propping in place. JPC to forward movement monitoring report at piles,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,True,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,79,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,"Weepholes drilled at piles at east boundary. Detail Tbc by BL. JPC issue technical submittal for weephole detail proposal (including perforated pipe, its extent, connection with drainage sheet, etc)",2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,198,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Foundation,Car park eastern foundation reinforcement being installed. Dowels not allowed at construction joints (reinforcement  as per Aecom drwgs). Ensure laps are provided as per Aecom drwgs (works ongoing). Ensure starter bars are straight/vertical,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,240,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl 00 Lower Ground,Car park insitu walls quality  to be improved (especially at construction  joints -remedial repair required where honeycombing or surface cracking is present),2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,158,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Elevations,Block B progress photos,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,23,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 01 Mezzanine,Refer to latest Aecom drwgs for infill to mezzanine,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,51,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl -00 Foundation,Pad installation ongoing,2020-03-05,2020-03-12,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,3,spring,0,4,24,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Diamond joints to be constructed. Align diamond 'sharp end' with sawcut,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,71,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Repair concrete at step detail,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,30,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Continue sawcut to isolation joint. (as discussed diamond joints for other units),2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,81,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Improve quality of concrete at step and provide photographic  evidence of dowels connection at step,2020-08-21,2020-08-27,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,99,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Door threshold concrete to be repaired. Repair mortar to be applied. Quality of edge detail to be improved,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,106,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Edge detail not in line and not constructed as per Aecom detail. Jpc to survey and confirm remedial solution. Poor quality of workmanship.,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,138,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Poor installation of shuttering for levelling screed. Jpc to improve on quality of workmanship,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,94,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Honeycombing  at ground floor edge. Remedial repair required. Unit 105 at corner - confirm how timber external panel will be supported (upstand to continue),2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,156,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Levelling mortar at upstand. Some small flaking visible not compromising structural adequacy.Please protect from damages during bad weather  condition in the future,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,164,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl 00 Lower Ground,Works ongoing on reinforcement at south wall,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,44,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl -00 Foundation,Leanmixed pads,2020-03-05,2020-03-12,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,3,spring,0,4,14,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl 00 Lower Ground,Spray applied at male piles,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,27,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Awaiting details on weepholes. Weepholes dont seem to be perforated,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,Unknown,True,True,True,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,67,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Foundation,Reinforcement installation for base ongoing,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,43,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,"Reinforced pile broken down? Jpc to confirm urgently with BL what action is required.

(Confirmation/ detail now received)",2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,122,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block A>Elevations,Block A progress,2020-08-28,2020-09-03,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,6.0,8,4,summer,0,4,16,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,"As discussed,  JPC to forward correspondence  with BL on weephole detail. Jpc to check all perforated pipes are sealed at the end",2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,True,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,129,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Foundation,Reinforcement  installation  and pouring of foundations  for Car Park ongoing,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,77,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Spraying ongoing for void former at piles. Jpc to organise joint benchmark inspection with waterproofing specialist  for hydroduct installation. This is necessary due to lack of drawings from GCP on waterproofing  of Car Park envelope. Correspondence  with GCP to be forwarded to AECOM on as agreed detail.,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,306,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl 00 Lower Ground,"Reinforcement  installation  at south wall, as discussed quality of concrete to improve at construction  joints",2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,111,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block A>Elevations,Block A progress. Placing granular fill under g slab has commenced,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,66,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Piles installation  ongoing,2020-03-20,2020-03-27,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,4,spring,0,4,27,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Quality of concrete at upstand to improve. Flaking visible,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,58,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Elevations,Timber panels were delivered to site for first sections of wall in Block B. Netting for roof work has started,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,109,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl 00 Ground Floor,Remedial repair works progressing for edge of gf slab in Block B,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,64,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block B>Lvl -00 Foundation,Underpinning  now completed at Rituals. As discussed last sections at pad could be omitted as existing  drainage pipework is at higher level than expected,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,154,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Block A>Lvl -00 Foundation,Pad at gl a13/aa can be moved 200mm to avoid LV ducting.,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,True,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,56,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Block A>Lvl -00 Foundation,Pad at gl ab/a14 - confirmation required from M&E engineer on LV ducts (relocation?   live services ). AECOM will send email to get a solution,2020-09-03,2020-09-09,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,3,autumn,0,4,142,Design Team,1
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Vertical and horizontal tape to be installed  to seal joints between  sheets,2020-09-09,2020-09-15,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,2,autumn,0,4,76,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Lap hydroduct coil at steps and clean at the btm of the wall prior to pouring concrete,2020-09-09,2020-09-15,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,2,autumn,0,4,86,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,110mm pipe will be used for top weephole,2020-09-09,2020-09-15,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,2,autumn,0,4,40,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Provide more fixing to drainage sheets as per Gcp recommendation,2020-09-09,2020-09-15,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,2,autumn,0,4,64,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,"Guide wall completed for northern, western and partially eastern elevations",2020-03-20,2020-03-27,Design Team - BCAR Structural,Unknown,Unknown,True,False,False,Unknown,Unknown,1338,Design Team,7.0,3,4,spring,0,4,75,Design Team,0
Quality Control & BC(A)R>ITP 01 Structural>Carpark>Lvl -00 Piling,Btm weephole not yet installed.  Install 100mm above foundation,2020-09-09,2020-09-15,Design Team - BCAR Structural,Unknown,FormAnswer,True,False,False,Unknown,Unknown,1338,Design Team,6.0,9,2,autumn,0,4,63,Design Team,0
